Symbol,Market Cap,Volume,Revenue Growth (YoY),Revenue Growth (Q),EPS Growth,Gross Margin,Operating Income,EBIT,Free Cash Flow,FCF Margin,EV/EBITDA,Debt / Equity,Net Debt / EBITDA,Short % Float,Revenue Growth Est.,Rev Growth This Quarter,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth Next Year,EPS Growth Est.,EPS Growth This Quarter,EPS Growth Next Quarter,EPS Growth This Year,EPS Growth Next Year,Shares Insiders,Earnings Date,Price Change 20-Day MA,Price Change 50-Day MA,Price Change 200-Day MA,Relative Strength Index (RSI),Relative Volume,52-Week Low Price,52-Week High Price,Stock Price,Average True Range (ATR),PS Ratio,Forward PS,PE Ratio,Forward PE
CIEN,70168698485,2498183,26.54%,33.09%,185.46%,42.13%,306280000,356547000,742213000,14.48%,138.88922,0.56715,0.55981,3.59%,29.99%,33.08%,36.16%,30.83%,19.87%,64.06%,284.97%,2377.65%,635.83%,34.38%,0.58%,2026-03-05,19.62%,41.25%,141.15%,68.415,77.13%,56.37,513.49,496.02,33.3689671941185,13.69335,10.77695,315.93631,73.62337
AAOI,11324939280,21900041,82.75%,33.91%,,30.04%,-54602000,-43207000,-384653000,-84.41%,,0.33802,,12.28%,55.69%,60.44%,94.87%,119.87%,129.84%,,,,,366.96%,4.08%,2026-05-07,44.76%,85.44%,259.54%,71.677,156.48%,9.711,154.75,150.6,14.663253886867183,24.85092,11.53593,,180.57931
RKLB,38748214400,18620092,37.96%,35.70%,,34.43%,-228838000,-199408000,-321806000,-53.47%,,0.14749,,4.00%,55.89%,58.90%,44.17%,46.63%,41.43%,,,,,,0.87%,2026-05-07,0.56%,-3.20%,15.52%,49.762,74.61%,18.21,99.58,68.05,5.497289389493231,64.3873,44.59097,,
BE,39426383700,9104436,37.33%,35.87%,,29.02%,72802000,-31810000,57321000,2.83%,778.83192,3.89074,9.92671,9.24%,59.61%,74.82%,81.83%,62.80%,57.21%,133.33%,,,,111.46%,6.06%,2026-04-29,14.44%,10.44%,68.79%,60.037,96.37%,16.01,180.9,166.7,14.279813431608272,19.4795,11.97966,,116.78452
FN,23722269895,1073184,24.66%,35.90%,16.78%,12.01%,376506000,400685000,102471000,2.63%,49.68627,0.02689,-1.96394,5.68%,36.00%,38.91%,41.59%,36.87%,18.16%,38.49%,62.13%,59.61%,52.43%,19.51%,0.28%,2026-05-04,20.03%,24.85%,55.46%,66.042,150.86%,167.33,679.57,662.13,43.1073015730882,6.09434,4.5849,63.42241,42.45817
VIAV,9669760728,5182624,23.51%,36.37%,,56.59%,42800000,10300000,81000000,6.51%,207.60736,1.52835,10.26531,6.47%,38.23%,41.05%,41.20%,37.78%,10.64%,40.00%,169.26%,705.03%,468.94%,20.45%,1.39%,2026-04-30,18.71%,35.01%,128.22%,67.192,81.01%,8.1,43.64,41.79,2.616985268203522,7.77499,5.93019,,42.80746
PL,11186448850,9427799,25.94%,41.05%,,56.05%,-95073000,-238769000,51414000,16.71%,,2.45437,,14.34%,27.01%,31.40%,39.21%,41.85%,29.44%,,,,,,1.90%,2026-03-19,11.05%,28.77%,114.28%,59.309,50.72%,2.92,38.21,34.67,3.258235520774299,36.35186,25.29011,,
CIFR,6696617070,23203555,48.04%,41.42%,,63.73%,-400741000,-788998000,-702175000,-313.55%,,3.43501,,17.37%,-27.25%,-27.21%,-29.54%,14.31%,236.77%,,,,,,3.49%,2026-05-05,15.04%,10.00%,22.56%,60.277,94.26%,2.12,25.52,16.53,1.328354730076617,29.90335,28.65954,,59.5238
TER,57611042440,3112063,13.13%,43.89%,4.52%,58.22%,650051000,640192000,450406000,14.12%,74.94703,0.10131,-0.05046,3.12%,76.05%,78.22%,81.34%,32.19%,18.24%,180.00%,247.66%,297.44%,82.30%,31.89%,0.21%,2026-04-27,17.97%,20.49%,95.26%,68.912,99.82%,68.24,373,367.99,18.37093228119226,18.05975,13.68632,106.04899,58.04784
TSX:VNP,3159458327,331695,35.27%,46.13%,242.63%,29.52%,98941852,100309591,65059291,12.01%,30.00954,0.84424,1.17388,,,,,,,,,,,,3.73%,2026-02-24,11.61%,20.05%,79.70%,66.068,73.35%,5.12,35.7,35.47,1.8749046249018408,5.83224,,43.5385,36.3636
MDA,4170151160,532565,,,,24.83%,113988514,122367898,95568317,8.02%,19.45822,0.30339,0.83581,1.11%,,19.41%,16.31%,11.74%,12.60%,,19.13%,57.11%,80.06%,14.19%,,2026-03-04,5.07%,6.34%,20.01%,55.968,67.01%,15,35.35,30.59,1.9123619263211216,3.49811,2.29161,49.89083,21.94704
SIMO,4251794977,534698,25.72%,,65.00%,45.89%,90889000,107409000,32747000,4.08%,29.53957,,-2.49143,,79.97%,83.53%,57.76%,42.27%,12.78%,108.33%,131.75%,159.32%,57.07%,29.34%,,2026-04-28,6.29%,1.64%,29.98%,57.933,109.29%,37.82,146.85,126.71,6.942547532647659,5.29125,3.29033,47.99621,20.7469
KRMN,10936069038,1151081,36.57%,47.41%,62.50%,40.30%,72942000,77089000,-42455000,-9.00%,95.88418,1.53468,4.61794,8.37%,46.54%,52.96%,59.14%,56.98%,27.80%,100.00%,,226.62%,416.36%,48.49%,6.83%,2026-05-12,-10.05%,-10.58%,11.38%,42.579,62.07%,28.945,118.38,82.52,7.332112868154262,23.19421,14.80568,634.76923,123.45413
APH,173012715000,9736883,51.71%,49.13%,73.96%,36.88%,5868600000,5933500000,4392900000,19.02%,25.82892,1.15574,0.59333,0.90%,46.37%,47.99%,36.82%,37.44%,12.21%,49.21%,63.17%,22.59%,32.13%,17.08%,0.55%,2026-04-29,8.48%,2.79%,10.46%,59.78,111.41%,62,167.04,140.75,5.926316762835049,7.49145,5.48046,42.14072,31.99543
RDW,1534252790,14313264,10.29%,56.40%,,5.15%,-210866000,-211862000,-190810000,-56.89%,,0.11679,,19.05%,69.69%,73.68%,81.44%,41.94%,20.63%,,,,,,1.33%,2026-05-11,0.45%,-0.09%,-4.59%,50.466,78.53%,4.87,22.25,9.29,0.8767148449180894,4.57466,3.21377,,
IREN,13044770840,35290154,171.51%,59.02%,,28.88%,-133466000,384102000,-1250336000,-245.82%,,1.53017,,17.05%,46.90%,53.86%,81.05%,105.98%,195.83%,,,,-89.50%,758.00%,3.01%,2026-05-13,2.03%,-5.34%,-0.66%,51.383,112.66%,5.24,76.87,39.32,3.237467635138304,25.64629,7.08947,35.74545,62.5
OTC:KRKNF,1820716920,1142257,11.77%,60.09%,1.13%,55.87%,7539278,7244555,-22070286,-29.98%,238.92655,0.16122,-4.96403,,,,,,,,,,,,2.59%,2025-11-21,-6.37%,-5.08%,36.49%,44.405,100.20%,1.55,8.13,5.94,0.4958921929353849,24.72906,,122,120.4819
SNDK,125722078217,13341252,23.60%,61.25%,,34.81%,-612000000,-736000000,1449000000,16.23%,,0.05904,,5.82%,172.12%,176.28%,204.63%,112.64%,71.95%,,,,,124.03%,5.48%,2026-04-30,20.44%,31.42%,201.43%,68.287,72.55%,28.27,873.95,851.77,59.20608475581968,14.0802,5.09677,,10.69646
LITE,64067220000,7136092,48.89%,65.46%,,33.44%,24900000,74200000,18500000,0.88%,205.56989,3.92476,6.72688,16.22%,90.00%,91.24%,91.29%,79.03%,63.02%,266.67%,,-9.23%,1961.10%,90.59%,0.58%,2026-05-05,19.64%,36.19%,179.66%,64.781,95.36%,49.13,960,897.3,72.802369059587,30.43284,16.13105,264.69027,75.57065
KRX:000660,709097560236000,2093110,46.76%,66.07%,113.59%,60.41%,47206319000000,52666837000000,25168965000000,25.91%,14.80136,0.18438,-0.19058,,,,,,,,,,,,20.75%,2026-01-29,8.52%,11.03%,83.66%,57.662,49.98%,171800,1099000,1027000,64325.90274047902,7.29925,,16.51158,
LASR,3647077281,1901091,31.62%,71.34%,,29.83%,-26550000,-21684000,12840000,4.91%,,0.15968,,4.62%,38.89%,42.22%,17.66%,10.91%,14.32%,,,,,55.32%,5.12%,2026-05-07,1.93%,10.29%,73.63%,54.916,102.32%,6.855,74.1,65.37,5.632165726179416,13.95583,12.57969,,229.03379
TRT,55735054,54341,27.63%,81.56%,,19.68%,267000,59000,225000,0.46%,17.86434,0.10581,-5.84262,0.39%,,,,,,,,,,,44.84%,2026-05-12,4.14%,13.12%,48.59%,55.732,84.22%,2.31,7.6,6.37,0.539957533594867,1.13241,,,
SEI,4478449719,1949456,98.73%,86.61%,32.00%,40.35%,135386000,72434000,-434264000,-69.79%,33.20653,1.91191,4.63023,22.17%,43.45%,45.63%,30.23%,34.62%,46.25%,35.00%,99.39%,-3.47%,135.17%,72.01%,10.53%,2026-04-27,5.22%,13.63%,39.92%,59.505,72.21%,16.05,70.17,62.39,4.793978226935859,7.19771,5.36399,94.5303,44.98877
ALAB,25370471672,10898844,115.13%,91.77%,,75.69%,173423000,218153000,281762000,33.05%,106.09945,,-5.21605,10.90%,83.33%,86.85%,64.84%,60.93%,37.90%,36.36%,203.73%,93.84%,106.49%,43.25%,11.27%,2026-05-05,23.68%,15.18%,-4.31%,65.98,238.85%,52.565,262.9,149.05,9.854868438466314,29.75921,18.44267,122.17213,58.98967
OUST,1299414574,1247929,52.46%,106.63%,,49.26%,-73999000,-63312000,-64849000,-38.29%,,0.06526,,9.85%,41.00%,44.62%,47.55%,33.20%,37.27%,,,,,,4.19%,2026-05-05,4.05%,3.30%,-17.89%,53.292,76.52%,6.58,41.65,20.69,1.5760645612760906,7.67141,5.75905,,
AEVA,840351648,625264,99.44%,108.49%,,-3.65%,-127597000,-145120000,-119686000,-662.02%,,7.63572,,27.63%,42.76%,48.40%,4.26%,85.37%,132.72%,,,,,,20.96%,2026-05-13,-4.38%,-2.77%,-18.07%,47.141,50.67%,6.1,38.8,13.35,1.2372056496193156,46.4822,25.11811,,
LAES,299446875,9392841,-39.28%,,,47.28%,-39799000,-34133000,-32000000,-175.32%,,0.01733,,9.83%,61.64%,,,93.36%,43.06%,,,,,,2.69%,2026-03-31,-21.93%,-39.52%,-47.74%,25.507,99.27%,2.02,8.71,2.1,0.24498588879016375,16.40625,,,
LPTH,559720425,3102746,64.15%,120.23%,,30.04%,-19065015,-21493720,-6259909,-11.86%,,0.13173,,6.64%,87.38%,89.57%,53.00%,83.04%,24.83%,,,,,,1.31%,2026-05-14,15.33%,14.92%,60.72%,60.445,163.77%,1.73,15.24,12.83,1.0743896157370314,10.60331,7.27751,,217.3913
SMCI,15130462140,43514322,34.76%,123.36%,-41.99%,8.02%,1031725000,1123215000,440087000,1.57%,13.31294,0.69763,0.65803,16.61%,169.84%,173.46%,96.11%,92.37%,21.47%,90.32%,273.45%,77.45%,35.14%,33.17%,13.85%,2026-05-05,2.28%,-12.36%,-35.86%,48.681,88.07%,19.48,62.358,25.26,1.8034621080988649,0.53927,0.31581,18.85075,10.04556
AMPX,2359467180,6474346,202.11%,137.36%,,11.32%,-46646000,-44024000,-35534000,-48.67%,,0.38407,,13.92%,127.77%,132.52%,91.35%,76.15%,61.32%,,,,,,8.19%,2026-05-07,-0.90%,18.70%,59.24%,54.477,86.18%,1.97,19.76,17.22,1.538556483450216,32.3166,18.34947,,
APLD,7504308094,26412256,135.66%,139.29%,,27.07%,-159616000,-168732000,-1785965000,-502.44%,,1.78816,,31.05%,45.71%,47.57%,113.05%,141.11%,59.41%,,,,,,11.07%,2026-04-08,1.63%,-9.85%,6.74%,49.055,135.24%,3.31,42.27,26.26,2.4783542159624012,21.11184,16.97988,,526.3158
AVAV,8974138480,867558,116.86%,143.41%,,24.74%,-264717000,-251036000,-246114000,-15.28%,,0.19335,,10.12%,183.10%,189.41%,107.35%,135.55%,14.90%,130.00%,,155.19%,89.65%,44.15%,0.76%,2026-03-10,-7.75%,-21.05%,-34.77%,35.935,70.13%,134.501,417.86,179.72,12.787468284973256,5.57303,4.16907,,43.56329
UMAC,532730720,3833512,101.23%,144.43%,,34.88%,-25152060,-19229350,-23239801,-207.51%,,0.01503,,10.77%,151.84%,150.99%,133.29%,115.39%,101.44%,,,,,-96.88%,6.95%,2026-05-07,-8.64%,-6.25%,10.60%,47.184,73.62%,4.67,23.38,13.7,1.7709258669203518,47.56857,22.08393,,82.90971
XTIA,33290788,1015010,112.13%,170.59%,,53.47%,-46301000,-60225000,-38506000,-836.91%,,0.0242,,18.74%,6759.50%,1331.75%,6896.69%,473.39%,806.64%,,,,,,0.29%,2026-05-18,-11.13%,-6.46%,9.17%,42.904,57.41%,1.105,7.43,1.94,0.22170121078365415,7.23555,0.24782,0.0073,
HUT,7327967395,5824777,44.79%,179.21%,,54.16%,-321994000,-247912000,-512974000,-218.18%,,0.30194,,19.65%,257.64%,,,161.69%,-11.92%,,,,,,9.66%,2026-05-07,27.54%,25.50%,61.03%,67.535,123.70%,10.61,68.66,66.085,4.983284491244417,31.16719,,,84.7458
MU,474311960700,36349216,85.55%,196.29%,406.94%,58.44%,28094000000,28328000000,10281000000,17.69%,12.69311,0.14902,-0.10227,2.79%,138.16%,156.67%,274.20%,198.54%,59.87%,451.28%,579.78%,1080.20%,676.78%,69.51%,0.27%,2026-03-18,5.79%,4.38%,68.21%,57.343,68.47%,65.645,471.34,420.59,26.17715441508408,8.16105,2.84273,19.84851,4.37427
CRDO,22058368325,8563512,226.12%,201.49%,17900.00%,67.83%,322948000,345063000,283694000,26.56%,55.90674,0.00682,-3.46928,5.63%,187.66%,202.40%,158.52%,210.92%,52.72%,236.00%,509.02%,426.31%,996.78%,40.21%,10.92%,2026-03-02,15.11%,6.83%,-8.77%,59.538,131.82%,33.04,213.8,119.59,8.462665141672062,20.65123,11.36982,66.43889,26.23291
ADUR,346801956,203791,2.09%,221.70%,,101.85%,-12062323,-13972004,-10924125,-5045.62%,,0.00823,,8.82%,,29.75%,-20.35%,-7.97%,1747.95%,,,,,,34.56%,2026-05-28,-3.05%,-6.67%,-14.45%,45.783,81.75%,3.95,17.66,10.34,0.8039619530235326,1601.80482,260.62108,,
ASPI,372277069,4096380,147.78%,349.53%,,8.08%,-42535626,-104912532,-33964522,-142.41%,,1.53448,,25.37%,630.49%,116.02%,504.57%,108.31%,403.41%,,,,,,17.14%,2026-05-19,-1.71%,-13.95%,-41.02%,45.91,88.31%,3.92,14.49,4.48,0.43263365845437146,15.60976,12.18782,,54.3478
IONQ,10555587365,13033421,201.85%,428.52%,,40.40%,-633715000,-554950000,-299604000,-230.44%,,0.0079,,22.48%,556.59%,570.49%,170.35%,84.91%,53.45%,,,,,,2.55%,2026-05-06,-5.03%,-13.63%,-38.09%,41.193,76.06%,23.485,84.64,28.79,2.2166133170204305,81.18683,43.85207,,
NBIS,34792800000,25749389,479.02%,546.88%,,68.63%,-596200000,163500000,-3681200000,-694.83%,58.24769,1.05961,1.95777,20.56%,556.91%,591.12%,451.56%,548.17%,182.79%,,,,,,3.76%,2026-05-19,25.47%,40.62%,59.13%,69.761,131.83%,20.25,149.82,144.97,9.679601875766448,65.67157,10.31417,1115.15385,68.4932
FLY,6004612608,6902083,162.95%,538.40%,,19.18%,-260688000,-313905000,-237470000,-148.55%,,0.25934,,9.35%,476.86%,43.03%,517.69%,175.74%,66.16%,,,,,,20.99%,2026-03-19,32.75%,54.38%,,74.782,90.59%,16,73.8,37.54,3.229418042867497,37.56287,13.70159,,
LWLG,1577608600,13599664,147.74%,594.54%,,97.12%,-20761424,-20313797,-15080959,-6367.17%,,0.03481,,8.81%,,,,,,,,,,,2.99%,2026-05-12,38.45%,93.68%,164.54%,75.157,224.92%,0.8221,10.62,10.6,0.9233673631398662,6660.65145,,,
ONDS,4264924290,33435101,605.28%,629.20%,,39.73%,-58384000,-130108000,-40818000,-80.46%,,0.02852,,34.35%,828.50%,845.13%,939.15%,662.14%,76.37%,,,,,,1.44%,2026-05-14,-6.89%,-8.79%,20.50%,44.138,47.90%,0.6904,15.28,9.13,0.8709191403536424,84.06939,11.03042,,11.3766
POET,858157935,18197357,2494.60%,1075.26%,,100.00%,-42091395,-62819167,-33341737,-3101.95%,,0.03845,,7.68%,108.67%,1245.65%,1077.79%,848.96%,700.00%,,,,,,0.33%,2026-05-13,16.04%,15.18%,14.77%,59.962,191.79%,3.53,9.41,7.04,0.5951199127009513,798.38671,33.12328,,
ASTS,37824449300,11814056,1505.21%,2731.34%,,50.34%,-287713000,-301971000,-1192655000,-1681.74%,,1.21615,,28.09%,5087.31%,5246.38%,3437.28%,167.10%,352.39%,,,,,,13.37%,2026-05-11,6.18%,3.80%,33.17%,54.016,95.96%,20.26,129.89,94.9,8.412271474908932,533.35471,208.26377,,
TE,814329521,16081750,25572.84%,12087.42%,,7.36%,-234567000,-350113000,67866000,8.99%,,2.13161,,22.93%,63.26%,263.93%,116.55%,57.16%,34.12%,,,,,,24.97%,2026-05-14,-19.58%,-29.72%,8.31%,38.245,112.68%,0.93,9.78,4.69,0.6095004190392169,1.07816,0.70443,,
JOBY,8167645560,16237328,39183.09%,55965.45%,,45.10%,-719591000,-928535000,-563811000,-1055.33%,,0.02452,,12.82%,,,206300.00%,114.04%,96.87%,,,,,,33.40%,2026-05-06,-5.77%,-13.07%,-39.09%,38.643,76.22%,5.56,20.95,8.34,0.5449599058406724,152.88059,70.66171,,
FJET,54373258,1196804,,,,,,,,,,,,5.96%,,,,,,,,,,,32.59%,2026-04-30,-24.62%,-28.08%,,36.774,141.99%,3.59,31.5,4.85,0.8302528505017042,,,,
UFO,,809307,,,,,,,,,,,,,,,,,,,,,,,,,8.08%,11.16%,33.56%,62.788,127.71%,20.365,52,50.67,1.906441883490005,,,,
INFQ,2184676754,5093338,12.58%,16.59%,,36.39%,-35286000,-31795000,-26517000,-81.68%,,,,2.56%,,,,,,,,,,,21.71%,,22.06%,7.37%,,58.556,180.63%,8.52,27.5,12.59,1.1311545740644198,67.29537,,,
VIVO,40296480,157753,-98.50%,,,18.03%,-11682000,-6450000,-8983000,-14726.23%,,1.4519,,19.04%,,,,,,,,,,,25.53%,2026-05-23,4.21%,12.52%,-33.09%,53.208,25.14%,1.2,8.88,2.4,0.3118804290062488,660.59803,,,
ASX:EOS,1790595479,1328417,-41.41%,148.71%,,24.19%,-49556000,-49000000,-40168000,-31.27%,-34.72657,0.12073,,,,,,,,,,,,,16.05%,2026-02-22,-0.68%,7.27%,36.43%,51.058,29.90%,0.995,11.8,9.28,0.9655500565991868,13.93915,,96.21167,
GFS,27225495553,2594226,0.61%,,,24.89%,797000000,1001000000,1179000000,17.36%,10.96998,0.10228,-0.7905,11.25%,2.59%,3.66%,4.21%,7.64%,9.90%,-5.88%,-10.29%,-1.69%,13.17%,30.25%,0.02%,2026-05-05,10.09%,8.33%,26.69%,61.894,72.19%,30.69,50.98,48.93,2.300600447898541,4.00906,3.74491,30.77358,27.21323
TSXV:AAG,266909184,341621,,,,,-14427644,-14955536,-17565358,,-17.81199,0.00295,,,,,,,,,,,,,25.61%,2026-01-27,3.90%,-13.29%,-9.65%,46.069,34.41%,0.43,1.42,0.8,0.074724237406168,,,-15.8,
OSS,192950090,800388,31.18%,,,49.61%,-3379112,5101527,-6404977,-19.88%,26.42748,0.03193,-5.23581,9.25%,-42.99%,-42.35%,-39.66%,22.19%,20.67%,,,,,,13.46%,2026-05-06,-10.07%,-12.82%,14.17%,42.804,46.88%,1.98,12.75,7.8,0.8033566289283401,5.98936,4.8997,35.45455,1544.55446
IPX,1070228400,216862,,,,,-55340086,-52296056,-55284634,,,0.04121,,,,,,,304.86%,,,,,,,2026-06-09,18.53%,-16.72%,-21.07%,50.556,53.30%,13.62,61.45,31.89,2.623863650966068,,,,1666.6667
